연도,시도,시군구,읍면동,일반수급자 가구수,일반수급자 수급권자수,조건부수급자 가구수,조건부수급자 수급권자수,특례수급자 가구수,특례수급자 수급권자수,기타 가구수,기타 수급권자수,시설수급자 가구수,시설수급자 수급권자수
2021,부산광역시,남구,문현1동,530,744,44,98,16,23,0,0,1,1
2021,부산광역시,남구,문현2동,543,615,53,79,21,22,0,0,0,0
2021,부산광역시,남구,문현3동,364,478,32,52,22,32,0,0,1,1
2021,부산광역시,남구,문현4동,394,508,36,52,16,21,0,0,0,0
2021,부산광역시,북구,북구,4,3,0,0,0,0,0,0,186,186
2021,부산광역시,북구,구포1동,888,1151,210,351,66,83,0,0,0,0
2021,부산광역시,북구,구포2동,1060,1370,166,279,20,21,0,0,3,3
2021,부산광역시,북구,구포3동,1146,1631,289,564,24,33,0,0,13,13
2021,부산광역시,북구,금곡동,4580,5507,488,893,151,198,0,0,1,1
2021,부산광역시,북구,화명1동,223,324,32,83,3,3,0,0,0,0
2021,부산광역시,북구,화명2동,397,601,63,145,6,8,0,0,20,20
2021,부산광역시,북구,화명3동,151,210,25,38,13,13,0,0,0,0
2021,부산광역시,북구,덕천1동,1243,1474,162,290,45,53,0,0,2,2
2021,부산광역시,북구,덕천2동,672,828,181,324,35,50,0,0,5,5
2021,부산광역시,북구,덕천3동,1522,1896,170,316,59,73,0,0,4,4
2021,부산광역시,북구,만덕1동,367,468,58,107,14,21,0,0,1,1
2021,부산광역시,북구,만덕2동,965,1484,169,372,35,55,0,0,7,7
2021,부산광역시,북구,만덕3동,404,522,64,120,11,16,0,0,0,0
2021,부산광역시,해운대구,해운대구,4,2,0,0,0,0,0,0,522,522
2021,부산광역시,해운대구,우1동,804,1075,90,168,22,30,0,0,0,0
2021,부산광역시,해운대구,우2동,352,487,40,97,2,3,0,0,8,8
2021,부산광역시,해운대구,우3동,97,146,19,44,0,0,0,0,0,0
2021,부산광역시,해운대구,중1동,603,767,93,167,6,8,0,0,0,0
2021,부산광역시,해운대구,중2동,471,612,86,148,5,8,0,0,0,0
2021,부산광역시,해운대구,좌1동,279,443,40,76,1,1,0,0,0,0
2021,부산광역시,해운대구,좌2동,436,704,91,181,3,5,0,0,0,0
2021,부산광역시,해운대구,좌3동,249,371,53,110,5,7,0,0,0,0
2021,부산광역시,해운대구,좌4동,185,287,27,55,1,1,0,0,0,0
2021,부산광역시,해운대구,송정동,840,1204,127,225,7,10,0,0,13,13
2021,부산광역시,해운대구,반여1동,670,957,98,173,7,7,0,0,0,0
2021,부산광역시,해운대구,반여2동,1184,1491,195,303,9,10,0,0,3,3
2021,부산광역시,해운대구,반여3동,874,1129,161,293,6,11,0,0,2,2
2021,부산광역시,해운대구,반여4동,218,326,35,83,3,3,0,0,2,2
2021,부산광역시,해운대구,반송1동,1450,1864,198,329,18,20,0,0,10,10
2021,부산광역시,해운대구,반송2동,3254,3865,287,497,46,57,0,0,20,20
2021,부산광역시,해운대구,재송1동,578,851,115,207,9,12,0,0,0,0
2021,부산광역시,해운대구,재송2동,1081,1555,248,459,20,26,0,0,10,10
2021,부산광역시,사하구,사하구,6,5,2,1,1,1,0,0,492,492
2021,부산광역시,사하구,괴정1동,579,787,139,301,23,36,0,0,34,34
2021,부산광역시,사하구,괴정2동,537,702,126,247,18,24,0,0,20,20
2021,부산광역시,사하구,괴정3동,572,692,140,232,13,15,0,0,12,12
2021,부산광역시,사하구,괴정4동,413,565,99,181,10,12,0,0,0,0
2021,부산광역시,사하구,당리동,706,982,142,269,17,23,0,0,4,4
2021,부산광역시,사하구,하단1동,523,685,123,210,16,27,0,0,1,1
2021,부산광역시,사하구,하단2동,615,884,157,276,12,15,0,0,1,1
2021,부산광역시,사하구,신평1동,1007,1251,298,505,19,22,0,0,3,3
2021,부산광역시,사하구,신평2동,368,510,86,158,7,14,0,0,0,0
2021,부산광역시,사하구,장림1동,443,564,115,190,7,12,0,0,0,0
2021,부산광역시,사하구,장림2동,815,1167,164,332,12,15,0,0,12,12
2021,부산광역시,사하구,다대1동,2732,3351,519,956,70,95,0,0,3,3
2021,부산광역시,사하구,다대2동,2698,3215,336,616,82,96,0,1,1,1
2021,부산광역시,사하구,구평동,229,315,42,83,4,4,0,0,0,0
2021,부산광역시,사하구,감천1동,650,838,135,248,27,33,0,0,16,16
2021,부산광역시,사하구,감천2동,607,731,94,155,12,16,0,0,2,2
2021,부산광역시,금정구,금정구,1,0,1,0,0,0,0,0,267,267
2021,부산광역시,금정구,서1동,652,819,45,65,12,13,0,0,1,1
2021,부산광역시,금정구,서2동,727,937,104,145,18,26,0,0,0,0
2021,부산광역시,금정구,서3동,857,1086,93,132,13,17,0,0,0,0
2021,부산광역시,금정구,금사동,2,0,1,0,0,0,0,0,0,0
2021,부산광역시,금정구,금사회동동,615,791,56,82,6,6,0,0,0,0
2021,부산광역시,금정구,부곡1동,942,1191,62,99,28,41,0,0,0,0
2021,부산광역시,금정구,부곡2동,482,654,36,67,20,30,0,0,0,0
2021,부산광역시,금정구,부곡3동,305,405,28,53,8,10,0,0,1,1
2021,부산광역시,금정구,부곡4동,530,679,40,58,9,10,0,0,0,0
2021,부산광역시,금정구,장전1동,409,511,40,68,8,8,0,0,0,0
2021,부산광역시,금정구,장전2동,592,735,36,58,8,12,0,0,133,133
2021,부산광역시,금정구,장전3동,1,0,0,0,0,0,0,0,0,0
2021,부산광역시,금정구,선두구동,137,148,13,19,2,2,0,0,0,0
2021,부산광역시,금정구,청룡노포동,343,432,16,29,5,6,0,0,27,27
2021,부산광역시,금정구,남산동,1569,2135,148,257,34,51,0,0,6,6
2021,부산광역시,금정구,구서1동,364,517,21,32,10,11,0,0,0,0
2021,부산광역시,금정구,구서2동,653,905,58,107,13,16,0,0,7,7
2021,부산광역시,금정구,금성동,24,28,1,0,0,0,0,0,0,0
2021,부산광역시,강서구,강서구,1,0,0,0,0,0,0,0,301,301
2021,부산광역시,강서구,대저1동,337,415,46,70,3,3,0,0,5,5
2021,부산광역시,강서구,대저2동,197,234,18,20,2,2,0,0,0,0
2021,부산광역시,강서구,강동동,244,286,25,39,6,8,0,0,14,14
2021,부산광역시,강서구,명지1동,385,636,49,112,7,9,0,0,12,12
2021,부산광역시,강서구,명지2동,144,242,7,13,2,2,0,0,0,0
2021,부산광역시,강서구,가락동,77,89,4,5,0,0,0,0,0,0
2021,부산광역시,강서구,녹산동,951,1475,149,307,10,12,0,0,13,13
2021,부산광역시,강서구,가덕도동,168,197,9,15,1,1,0,0,5,5
2021,부산광역시,연제구,연제구,4,2,0,0,0,0,0,0,208,208
2021,부산광역시,연제구,거제1동,403,554,29,47,7,9,0,0,0,0
2021,부산광역시,연제구,거제2동,155,201,10,12,3,5,0,0,2,2
2021,부산광역시,연제구,거제3동,326,409,25,37,2,2,0,0,2,2
2021,부산광역시,연제구,거제4동,346,496,63,118,5,6,0,0,19,19
2021,부산광역시,연제구,연산1동,438,564,77,112,2,2,0,0,0,0
2021,부산광역시,연제구,연산2동,684,859,82,118,12,14,0,0,0,0
2021,부산광역시,연제구,연산3동,606,772,92,134,12,11,0,0,1,1
2021,부산광역시,연제구,연산4동,923,1186,159,218,12,16,0,0,4,4
2021,부산광역시,연제구,연산5동,694,886,137,193,8,9,0,0,2,2
2021,부산광역시,연제구,연산6동,994,1314,135,235,22,29,0,0,2,2
2021,부산광역시,연제구,연산8동,563,696,98,158,8,10,0,0,1,1
2021,부산광역시,연제구,연산9동,964,1471,146,261,30,44,0,0,7,7
2021,부산광역시,수영구,수영구,1,1,0,0,0,0,0,0,60,60
2021,부산광역시,수영구,남천1동,252,344,48,85,11,13,0,0,0,0
2021,부산광역시,수영구,남천2동,156,263,35,76,5,8,0,0,1,1
2021,부산광역시,수영구,수영동,755,957,98,142,30,40,0,0,0,0
2021,부산광역시,수영구,망미1동,1004,1351,89,171,60,82,0,0,18,18
2021,부산광역시,수영구,망미2동,424,559,48,89,25,36,0,0,0,0
2021,부산광역시,수영구,광안1동,873,1109,111,200,61,86,0,0,0,0
2021,부산광역시,수영구,광안2동,528,674,79,128,37,53,0,0,0,0
2021,부산광역시,수영구,광안3동,474,606,40,60,34,50,0,0,0,0
2021,부산광역시,수영구,광안4동,381,525,28,59,28,37,0,0,3,3
2021,부산광역시,수영구,민락동,792,977,94,158,53,69,0,0,1,1
2021,부산광역시,사상구,사상구,0,0,0,0,0,0,0,0,73,73
2021,부산광역시,사상구,삼락동,425,533,59,93,4,6,0,0,0,0
2021,부산광역시,사상구,모라1동,875,1129,111,217,39,49,0,0,0,0
2021,부산광역시,사상구,모라3동,3407,4010,261,487,91,104,0,0,3,3
2021,부산광역시,사상구,덕포1동,406,525,82,139,11,21,0,0,4,4
2021,부산광역시,사상구,덕포2동,369,494,54,119,11,14,0,0,0,0
2021,부산광역시,사상구,괘법동,877,1066,147,218,34,46,0,0,5,5
2021,부산광역시,사상구,감전동,839,1117,87,158,25,32,0,0,10,10
2021,부산광역시,사상구,주례1동,365,518,54,100,18,19,0,0,12,12
2021,부산광역시,사상구,주례2동,550,707,82,136,16,20,0,0,1,1
2021,부산광역시,사상구,주례3동,306,409,33,69,15,24,0,0,5,5
2021,부산광역시,사상구,학장동,1153,1415,147,264,32,40,0,0,23,23
2021,부산광역시,사상구,엄궁동,459,634,52,112,21,31,0,0,14,14
2021,부산광역시,기장군,기장군,4,3,0,0,0,0,0,0,239,239
2021,부산광역시,기장군,기장읍,2549,3488,296,564,41,47,0,0,2,2
2021,부산광역시,기장군,장안읍,291,348,26,40,0,0,0,0,23,23
2021,부산광역시,기장군,정관읍,2476,4213,268,556,75,113,0,0,36,36
2021,부산광역시,기장군,일광면,421,553,49,81,1,2,0,0,3,3
2021,부산광역시,기장군,철마면,499,658,58,119,3,4,0,0,1,1
2022,부산광역시,중구,중구,0,0,0,0,0,0,0,0,3,3
2022,부산광역시,중구,중앙동,131,149,17,21,7,7,0,0,9,9
2022,부산광역시,중구,동광동,304,359,45,63,3,3,0,0,0,0
2022,부산광역시,중구,대청동,462,582,56,106,13,17,0,0,0,0
2022,부산광역시,중구,보수동,773,948,96,164,18,22,0,0,0,0
2022,부산광역시,중구,부평동,374,419,53,82,5,6,0,0,0,0
2022,부산광역시,중구,광복동,62,76,1,1,1,1,0,0,0,0
2022,부산광역시,중구,남포동,92,93,13,14,0,0,0,0,0,0
2022,부산광역시,중구,영주1동,362,419,63,86,1,1,0,0,2,2
2022,부산광역시,중구,영주2동,501,612,54,99,18,22,0,0,0,0
2022,부산광역시,서구,서구,17,17,0,0,0,0,0,0,373,373
2022,부산광역시,서구,동대신1동,337,461,23,51,9,13,0,0,0,0
2022,부산광역시,서구,동대신2동,531,722,47,84,10,13,0,0,1,1
2022,부산광역시,서구,동대신3동,395,540,34,68,6,8,0,0,0,0
2022,부산광역시,서구,서대신1동,491,663,54,93,12,16,0,0,0,0
